"Data
Month",Service,Installation Name,Parent,"B.1.a
AHLTA","B.1.b
CHCS","B.1.c
Essentris",2a_n,2a_d,2b_n,2b_d,B.4.e,B5e_n,B5e_d,"4A MEPRS
Trans.",EOM 4b,4c_n,4c_d,4d_n,4d_d,9a_n,9a_d,"EAS
9b_n",9b_d,"EAS
9c_n",9c_d,9d_n,"EAS
9d_d","11a
AFa_n","11a
AFa1_n","11a
AFa2_n","11a
AFa3_n","11a
AFa4_n","11a
AFa5_n","11a
AFa6_n","11a
AFa7_n","11a
AFa8_n","11a
AFa9_n","11a
AFa10_n","11a
AFa11_n","11a
AFa12_n","11b
AFb_n","11b
AFb1_n","11b
AFb2_n","12c
AFc_n","12c
AFc_d","12c
AFc1_n","12c
AFc1_d","12c
AFc2_n","12c
AFc2_d","12c
AFc3_n","12c
AFc3_d","12c
AFc4_n","12c
AFc4_d","12c
AFc5_n","12c
AFc5_d","12c
AFc6_n","12c
AFc6_d","12c
AFc7_n","12c
AFc7_d","12c
AFc8_n","12c
AFc8_d","12c
1AFc9_n","12c
AFc9_d","12c
AFc10_n","12c
AFc10_d","12c
AFc11_n","12c
AFc11_d","12c
AFc12_n","12c
AFc12_d","12d
AFd_n","12d
AFd_d","C.1.e
3c_n","C.1.e
3c_d","C.1.f
3d_n","C.1.f
3d_d"
,Air Force,BEALE,0015,,,,0,0,0,0,0,0,0,NO,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,675,751,681,731
,Air Force,VANDENBERG,0018,,,,0,0,0,0,0,0,0,NO,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,534,575,527,575
,Air Force,EDWARDS,0019,,,,0,0,0,0,0,0,0,NO,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,644,661,648,659
,Navy,NH CAMP PENDLETON,0024,,,,0,0,0,0,0,0,0,NO,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5471,6770,5475,6747
,Navy,NHC LEMOORE,0028,,,,0,0,0,0,0,0,0,NO,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1253,1317,1275,1319
,Navy,NMC SAN DIEGO,0029,,,,0,0,0,0,0,0,0,NO,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15221,16145,15103,16222
,Navy,NH TWENTYNINE PALMS,0030,,,,0,0,0,0,0,0,0,NO,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1440,1510,1509,1510
,Army,FT CARSON,0032,,,,0,0,0,0,0,0,0,NO,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6015,6308,6056,6322
,Air Force,USAFA,0033,,,,0,0,0,0,0,0,0,NO,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1869,2129,1979,2131
December 2022,Air Force,DOVER,0036,3.3.9 CF 9.0,4.630 CP 454,213.03.0029,2156,2298,0,0,0,3483,3661,NO,YES,31,31,31,31,5959,5959,0,0,0,3190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,715,808,708,810
,Navy,NH PENSACOLA,0038,,,,0,0,0,0,0,0,0,NO,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3433,3657,3578,3648
,Navy,NH JACKSONVILLE,0039,,,,0,0,0,0,0,0,0,NO,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5588,6305,5726,6288
,Air Force,EGLIN,0042,,,,0,0,0,0,0,0,0,NO,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4290,4879,4629,4876
,Air Force,TYNDALL,0043,,,,0,0,0,0,0,0,0,NO,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,728,728,721,729
,Air Force,MACDILL,0045,,,,0,0,0,0,0,0,0,NO,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1650,1731,1676,1724
,Air Force,PATRICK,0046,,,,0,0,0,0,0,0,0,NO,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,745,751,707,751
,Army,FT GORDON,0047,,,,0,0,0,0,0,0,0,NO,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6642,7337,6873,7352
,Army,FT BENNING,0048,,,,0,0,0,0,0,0,0,NO,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3955,5541,3510,5524
,Army,FT STEWART,0049,,,,0,0,0,0,0,0,0,NO,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3693,4593,3575,4587
,Air Force,MOODY,0050,,,,0,0,0,0,0,0,0,NO,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,828,831,815,819
,Air Force,ROBINS,0051,,,,0,0,0,0,0,0,0,NO,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1078,1107,1106,1107
,Army,TRIPLER,0052,,,,0,0,0,0,0,0,0,NO,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10195,11670,10292,11662
,Air Force,MT HOME,0053,,,,0,0,0,0,0,0,0,NO,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,648,719,646,714
December 2022,Air Force,SCOTT,0055,3.3.9 CF 9.0,4.630 CP 454,213.03.0029,5411,5714,0,0,1,4986,6101,YES,YES,31,31,31,31,11801,11815,0,0,6524,6518,0,0,17,3,0,14,0,0,0,0,0,0,0,0,0,35,22,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1477,1537,1531,1540
,Army,FT RILEY,0057,,,,0,0,0,0,0,0,0,NO,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3240,3535,3457,3541
,Army,FT LEAVENWORTH,0058,,,,0,0,0,0,0,0,0,NO,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,781,1015,739,1018
,Air Force,MCCONNELL,0059,,,,0,0,0,0,0,0,0,NO,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,653,660,651,653
December 2022,Army,FT CAMPBELL,0060,3.3.9 CF 9.0,4.630 CP 454,213.03.0029,38273,40529,210,210,91,13834,15072,YES,YES,31,31,31,31,54546,55811,538,328,52312,52309,1062,1292,1363,41,57,1265,0,0,0,0,0,0,0,0,0,1016,708,308,1008,1008,362,362,318,318,328,328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4320,4320,5771,6019,5791,6022
December 2022,Army,FT KNOX,0061,3.3.9 CF 9.0,4.630 CP 454,213.03.0029,7096,7658,0,0,10,1954,2157,YES,YES,31,31,31,31,9809,9815,0,0,7896,7907,0,0,16,0,10,6,0,0,0,0,0,0,0,0,0,57,52,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1344,1393,1376,1404
,Air Force,BARKSDALE,0062,,,,0,0,0,0,0,0,0,NO,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1053,1103,1091,1091
,Army,FT POLK,0064,,,,0,0,0,0,0,0,0,NO,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2146,2334,2144,2331
December 2022,P,ANDREWS,0066,3.3.9 CF 9.0,4.630 CP 454,213.03.0029,12919,13735,11,171,6,5712,6525,YES,YES,31,31,31,31,20352,20431,170,0,15969,16320,0,0,102,1,22,79,0,0,0,0,0,0,0,0,0,54,23,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2975,3625,2976,3595
December 2022,P,WALTER REED,0067,3.3.9 CF 9.0,4.630 CP 454,213.03.0029,47611,49433,785,825,68,18923,20368,YES,YES,31,31,31,31,70564,70626,646,645,66065,66460,3360,3499,118,31,25,62,0,0,0,0,0,0,0,0,0,631,496,135,1927,1947,664,665,634,637,629,645,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8187,8192,15168,17609,16045,17550
December 2022,P,NHC PATUXENT RIVER,0068,3.3.9 CF 9.0,4.630 CP 454,213.03.0029,3816,3922,0,0,0,2433,2537,NO,YES,31,31,31,31,6458,6459,0,0,0,3595,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,843,844,836,845
December 2022,P,FT MEADE,0069,3.3.9 CF 9.0,4.630 CP 454,213.03.0029,23000,23633,140,141,5,11879,12588,NO,YES,31,31,31,31,36264,36362,0,0,0,22445,0,0,260,50,112,98,0,0,0,0,0,0,0,0,0,181,34,147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2868,3720,2622,3719
,Air Force,KEESLER,0073,,,,0,0,0,0,0,0,0,NO,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3713,4181,3660,4061
,Air Force,COLUMBUS,0074,,,,0,0,0,0,0,0,0,NO,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,417,422,420,422
,Army,FT LEONARD WOOD,0075,,,,0,0,0,0,0,0,0,NO,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3280,3514,3465,3510
,Air Force,WHITEMAN,0076,,,,0,0,0,0,0,0,0,NO,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,751,775,749,774
,Air Force,MALMSTROM,0077,,,,0,0,0,0,0,0,0,NO,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,591,603,571,602
,Air Force,OFFUTT,0078,,,,0,0,0,0,0,0,0,NO,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1590,1697,1548,1699
,Air Force,NELLIS,0079,,,,0,0,0,0,0,0,0,NO,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4620,5193,4576,5187
,Air Force,KIRTLAND,0083,,,,0,0,0,0,0,0,0,NO,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,838,856,856,856
,Air Force,HOLLOMAN,0084,,,,0,0,0,0,0,0,0,NO,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,614,723,633,717
,Air Force,CANNON,0085,,,,0,0,0,0,0,0,0,NO,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,621,692,634,689
December 2022,Army,WEST POINT,0086,3.3.9 CF 9.0,4.630 CP 454,213.03.0029,5842,5977,47,47,0,1245,1321,YES,YES,31,31,31,31,7345,7345,74,29,5791,5836,61,117,15,7,8,0,0,0,0,0,0,0,0,0,0,95,71,24,115,115,49,49,37,37,29,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,433,433,1431,1601,1470,1604
,Army,FT BRAGG,0089,,,,0,0,0,0,0,0,0,NO,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9745,11379,10860,11388
,Air Force,S. JOHNSON,0090,,,,0,0,0,0,0,0,0,NO,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,570,650,622,653
,Navy,NMC CAMP LEJEUNE,0091,,,,0,0,0,0,0,0,0,NO,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7620,7621,7671,7674
,Navy,NHC CHERRY POINT,0092,,,,0,0,0,0,0,0,0,NO,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,954,1033,1023,1031
,Air Force,G. FORKS,0093,,,,0,0,0,0,0,0,0,NO,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,457,461,440,460
,Air Force,MINOT,0094,,,,0,0,0,0,0,0,0,NO,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,760,796,743,800
December 2022,Air Force,W-PATTERSON,0095,3.3.9 CF 9.0,4.630 CP 454,213.03.0029,15744,17039,133,134,45,9441,10969,NO,NO,31,31,31,31,28067,28142,0,198,0,18574,422,0,121,19,27,75,0,0,0,0,0,0,0,0,0,653,260,393,520,526,160,160,167,168,193,198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1994,1994,4811,5292,5206,5296
,Air Force,TINKER,0096,,,,0,0,0,0,0,0,0,NO,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1312,1316,1264,1298
,Air Force,ALTUS,0097,,,,0,0,0,0,0,0,0,NO,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,438,453,448,454
,Army,FT SILL,0098,,,,0,0,0,0,0,0,0,NO,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2693,2863,2537,2861
December 2022,Navy,NHC NEW ENGLAND,0100,3.3.9 CF 9.0,4.630 CP 454,213.03.0029,9504,9656,0,0,13,4228,4555,YES,YES,31,31,31,31,14209,14209,0,0,7994,7985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,8,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1886,2063,1983,2063
,Air Force,SHAW,0101,,,,0,0,0,0,0,0,0,NO,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,897,901,845,900
,Navy,NHC CHARLESTON,0103,,,,0,0,0,0,0,0,0,NO,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,735,759,762,766
,Navy,NH BEAUFORT,0104,,,,0,0,0,0,0,0,0,NO,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2193,2429,2183,2429
,Army,FT JACKSON,0105,,,,0,0,0,0,0,0,0,NO,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2300,2369,2307,2367
,Air Force,ELLSWORTH,0106,,,,0,0,0,0,0,0,0,NO,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,728,775,771,771
,Army,FT BLISS,0108,,,,0,0,0,0,0,0,0,NO,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8195,9965,8743,9973
,Army,BAMC,0109,,,,0,0,0,0,0,0,0,NO,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14803,21011,15771,22095
,Army,FT HOOD,0110,,,,0,0,0,0,0,0,0,NO,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8421,9832,9665,10006
,Air Force,DYESS,0112,,,,0,0,0,0,0,0,0,NO,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,777,785,773,781
