DataMonth,DMISID,QuestionNum,Value1,Value2,Flag,,
9/1/2022,0003,C.12.a.9,,,,,
9/1/2022,0003,C.12.b,,,,,
9/1/2022,0003,C.3.a,Y,,,,
9/1/2022,0003,C.3.b,Y,,,,
9/1/2022,0003,C.3.c,30,30,,,
9/1/2022,0003,C.3.d,30,30,,,
9/1/2022,0003,C.9.a,7799,7807,,,
9/1/2022,0003,C.9.b,,,,,
9/1/2022,0003,C.9.c,7291,7108,,,
9/1/2022,0003,C.9.d,,,,,
9/1/2022,0003,E.1.a.1,,,,,
9/1/2022,0003,E.1.a.2,2,,,,
9/1/2022,0003,E.1.a.3,,,,,
9/1/2022,0003,E.1.a.4,,,,,
9/1/2022,0003,E.1.a.5,,,,,
9/1/2022,0003,E.1.a.6,,,,,
9/1/2022,0003,E.1.a.7,,,,,
9/1/2022,0003,E.1.a.8,8,,,,
9/1/2022,0003,E.1.b.1,,,,,
9/1/2022,0003,E.1.b.2,,,,,
9/1/2022,0003,E.1.b.3,,,,,
9/1/2022,0003,E.1.b.4,,,,,
9/1/2022,0003,E.1.b.5,,,,,
9/1/2022,0003,E.1.b.6,,,,,
9/1/2022,0003,E.1.b.7,,,,,
9/1/2022,0003,E.1.b.8,1,,,,
9/1/2022,0004,B.1.a,3.3.9 CF 9.0,,,,
9/1/2022,0004,B.1.b,4.630 CP 454,,,,
9/1/2022,0004,B.1.c,213.03.0029,,,,
9/1/2022,0004,B.4.e,646,,,,
9/1/2022,0004,B.5.a,2659,2821,,,
9/1/2022,0004,B.5.b,,,,,
9/1/2022,0004,B.5.d,2616,3135,,,
9/1/2022,0004,B.8.b,197,,,,
9/1/2022,0004,C.1.e,838,838,,,
9/1/2022,0004,C.1.f,826,827,,,
9/1/2022,0004,C.11.a,3,,,,
9/1/2022,0004,C.11.a.1,,,,,
9/1/2022,0004,C.11.a.10,,,,,
9/1/2022,0004,C.11.a.11,1,,,,
9/1/2022,0004,C.11.a.12,1,,,,
9/1/2022,0004,C.11.a.2,,,,,
9/1/2022,0004,C.11.a.3,,,,,
9/1/2022,0004,C.11.a.4,,,,,
9/1/2022,0004,C.11.a.5,,,,,
9/1/2022,0004,C.11.a.6,1,,,,
9/1/2022,0004,C.11.a.7,,,,,
9/1/2022,0004,C.11.a.8,,,,,
9/1/2022,0004,C.11.a.9,,,,,
9/1/2022,0004,C.11.b,8,,,,
9/1/2022,0004,C.11.b.1,5,,,,
9/1/2022,0004,C.11.b.2,3,,,,
9/1/2022,0004,C.12.a,,,,,
9/1/2022,0004,C.12.a.1,,,,,
9/1/2022,0004,C.12.a.10,,,,,
9/1/2022,0004,C.12.a.11,,,,,
9/1/2022,0004,C.12.a.12,,,,,
9/1/2022,0004,C.12.a.2,,,,,
9/1/2022,0004,C.12.a.3,,,,,
9/1/2022,0004,C.12.a.4,,,,,
9/1/2022,0004,C.12.a.5,,,,,
9/1/2022,0004,C.12.a.6,,,,,
9/1/2022,0004,C.12.a.7,,,,,
9/1/2022,0004,C.12.a.8,,,,,
9/1/2022,0004,C.12.a.9,,,,,
9/1/2022,0004,C.12.b,,,,,
9/1/2022,0004,C.3.a,Y,,,,
9/1/2022,0004,C.3.b,Y,,,,
9/1/2022,0004,C.3.c,30,30,,,
9/1/2022,0004,C.3.d,30,30,,,
9/1/2022,0004,C.9.a,5955,5956,,,
9/1/2022,0004,C.9.b,,,,,
9/1/2022,0004,C.9.c,3292,3292,,,
9/1/2022,0004,C.9.d,,,,,
9/1/2022,0004,E.1.a.1,,,,,
9/1/2022,0004,E.1.a.2,,,,,
9/1/2022,0004,E.1.a.3,,,,,
9/1/2022,0004,E.1.a.4,,,,,
9/1/2022,0004,E.1.a.5,,,,,
9/1/2022,0004,E.1.a.6,,,,,
9/1/2022,0004,E.1.a.7,,,,,
9/1/2022,0004,E.1.a.8,8,,,,
9/1/2022,0004,E.1.b.1,,,,,
9/1/2022,0004,E.1.b.2,1,,,,
9/1/2022,0004,E.1.b.3,,,,,
9/1/2022,0004,E.1.b.4,,,,,
9/1/2022,0004,E.1.b.5,,,,,
9/1/2022,0004,E.1.b.6,,,,,
9/1/2022,0004,E.1.b.7,,,,,
9/1/2022,0004,E.1.b.8,,,,,
9/1/2022,0005,B.1.a,,,,,
9/1/2022,0005,B.1.b,,,,,
9/1/2022,0005,B.1.c,,,,,
9/1/2022,0005,B.4.e,,,,,
9/1/2022,0005,B.5.a,,,,,
9/1/2022,0005,B.5.b,,,,,
9/1/2022,0005,B.5.d,,,,,
9/1/2022,0005,B.8.b,893,,,,
9/1/2022,0005,C.1.e,2500,2714,,,
9/1/2022,0005,C.1.f,2594,2716,,,
9/1/2022,0005,C.11.a,,,,,
9/1/2022,0005,C.11.a.1,,,,,
9/1/2022,0005,C.11.a.10,,,,,
9/1/2022,0005,C.11.a.11,,,,,
9/1/2022,0005,C.11.a.12,,,,,
9/1/2022,0005,C.11.a.2,,,,,
9/1/2022,0005,C.11.a.3,,,,,
9/1/2022,0005,C.11.a.4,,,,,
9/1/2022,0005,C.11.a.5,,,,,
9/1/2022,0005,C.11.a.6,,,,,
9/1/2022,0005,C.11.a.7,,,,,
9/1/2022,0005,C.11.a.8,,,,,
9/1/2022,0005,C.11.a.9,,,,,
9/1/2022,0005,C.11.b,,,,,
9/1/2022,0005,C.11.b.1,,,,,
9/1/2022,0005,C.11.b.2,,,,,
9/1/2022,0005,C.12.a,,,,,
9/1/2022,0005,C.12.a.1,,,,,
9/1/2022,0005,C.12.a.10,,,,,
9/1/2022,0005,C.12.a.11,,,,,
9/1/2022,0005,C.12.a.12,,,,,
9/1/2022,0005,C.12.a.2,,,,,
9/1/2022,0005,C.12.a.3,,,,,
9/1/2022,0005,C.12.a.4,,,,,
9/1/2022,0005,C.12.a.5,,,,,
9/1/2022,0005,C.12.a.6,,,,,
9/1/2022,0005,C.12.a.7,,,,,
9/1/2022,0005,C.12.a.8,,,,,
9/1/2022,0005,C.12.a.9,,,,,
9/1/2022,0005,C.12.b,,,,,
9/1/2022,0005,C.3.a,Y,,,,
9/1/2022,0005,C.3.b,,,,,
9/1/2022,0005,C.3.c,,,,,
9/1/2022,0005,C.3.d,,,,,
9/1/2022,0005,C.9.a,,,,,
9/1/2022,0005,C.9.b,181,,Remove,,
9/1/2022,0005,C.9.c,2624,,Remove,,
9/1/2022,0005,C.9.d,,398,Remove,,
9/1/2022,0005,E.1.a.1,,,,,
9/1/2022,0005,E.1.a.2,,,,,
9/1/2022,0005,E.1.a.3,,,,,
9/1/2022,0005,E.1.a.4,,,,,
9/1/2022,0005,E.1.a.5,,,,,
9/1/2022,0005,E.1.a.6,,,,,
9/1/2022,0005,E.1.a.7,,,,,
9/1/2022,0005,E.1.a.8,16,,,,
9/1/2022,0005,E.1.b.1,1,,,,
9/1/2022,0005,E.1.b.2,,,,,
9/1/2022,0005,E.1.b.3,,,,,
9/1/2022,0005,E.1.b.4,,,,,
9/1/2022,0005,E.1.b.5,,,,,
9/1/2022,0005,E.1.b.6,1,,,,
9/1/2022,0005,E.1.b.7,,,,,
9/1/2022,0005,E.1.b.8,61,,,,
9/1/2022,0006,B.1.a,,,,,
9/1/2022,0006,B.1.b,,,,,
9/1/2022,0006,B.1.c,,,,,
9/1/2022,0006,B.4.e,,,,,
9/1/2022,0006,B.5.a,,,,,
9/1/2022,0006,B.5.b,,,,,
9/1/2022,0006,B.5.d,,,,,
9/1/2022,0006,B.8.b,5884,,,,
9/1/2022,0006,C.1.e,3332,3588,,,
9/1/2022,0006,C.1.f,3561,3582,,,
9/1/2022,0006,C.11.a,,,,,
9/1/2022,0006,C.11.a.1,,,,,
9/1/2022,0006,C.11.a.10,,,,,
9/1/2022,0006,C.11.a.11,,,,,
9/1/2022,0006,C.11.a.12,,,,,
9/1/2022,0006,C.11.a.2,,,,,
9/1/2022,0006,C.11.a.3,,,,,
9/1/2022,0006,C.11.a.4,,,,,
9/1/2022,0006,C.11.a.5,,,,,
9/1/2022,0006,C.11.a.6,,,,,
9/1/2022,0006,C.11.a.7,,,,,
9/1/2022,0006,C.11.a.8,,,,,
9/1/2022,0006,C.11.a.9,,,,,
9/1/2022,0006,C.11.b,,,,,
9/1/2022,0006,C.11.b.1,,,,,
9/1/2022,0006,C.11.b.2,,,,,
9/1/2022,0006,C.12.a,,,,,
9/1/2022,0006,C.12.a.1,,,,,
9/1/2022,0006,C.12.a.10,,,,,
9/1/2022,0006,C.12.a.11,,,,,
9/1/2022,0006,C.12.a.12,,,,,
9/1/2022,0006,C.12.a.2,,,,,
9/1/2022,0006,C.12.a.3,,,,,
9/1/2022,0006,C.12.a.4,,,,,
9/1/2022,0006,C.12.a.5,,,,,
9/1/2022,0006,C.12.a.6,,,,,
9/1/2022,0006,C.12.a.7,,,,,
9/1/2022,0006,C.12.a.8,,,,,
9/1/2022,0006,C.12.a.9,,,,,
9/1/2022,0006,C.12.b,,,,,
9/1/2022,0006,C.3.a,Y,,,,
9/1/2022,0006,C.3.b,,,,,
9/1/2022,0006,C.3.c,,,,,
9/1/2022,0006,C.3.d,,,,,
9/1/2022,0006,C.9.a,,,,,
9/1/2022,0006,C.9.b,278,,Remove,,
9/1/2022,0006,C.9.c,2843,,Remove,,
9/1/2022,0006,C.9.d,,644,Remove,,
9/1/2022,0006,E.1.a.1,,,,,
9/1/2022,0006,E.1.a.2,,,,,
9/1/2022,0006,E.1.a.3,,,,,
9/1/2022,0006,E.1.a.4,,,,,
9/1/2022,0006,E.1.a.5,,,,,
9/1/2022,0006,E.1.a.6,,,,,
9/1/2022,0006,E.1.a.7,,,,,
9/1/2022,0006,E.1.a.8,25,,,,
9/1/2022,0006,E.1.b.1,,,,,
9/1/2022,0006,E.1.b.2,1,,,,
9/1/2022,0006,E.1.b.3,,,,,
9/1/2022,0006,E.1.b.4,1,,,,
9/1/2022,0006,E.1.b.5,,,,,
9/1/2022,0006,E.1.b.6,,,,,
9/1/2022,0006,E.1.b.7,,,,,
9/1/2022,0006,E.1.b.8,180,,,,
9/1/2022,0008,B.1.a,,,,,
9/1/2022,0008,B.1.b,,,,,
9/1/2022,0008,B.1.c,,,,,
9/1/2022,0008,B.4.e,,,,,
9/1/2022,0008,B.5.a,,,,,
9/1/2022,0008,B.5.b,,,,,
9/1/2022,0008,B.5.d,,,,,
9/1/2022,0008,B.8.b,20,,,,
9/1/2022,0008,C.1.e,911,970,,,
9/1/2022,0008,C.1.f,921,961,,,
9/1/2022,0008,C.11.a,,,,,
9/1/2022,0008,C.11.a.1,,,,,
9/1/2022,0008,C.11.a.10,,,,,
9/1/2022,0008,C.11.a.11,,,,,
9/1/2022,0008,C.11.a.12,,,,,
9/1/2022,0008,C.11.a.2,,,,,
9/1/2022,0008,C.11.a.3,,,,,
9/1/2022,0008,C.11.a.4,,,,,
9/1/2022,0008,C.11.a.5,,,,,
9/1/2022,0008,C.11.a.6,,,,,
9/1/2022,0008,C.11.a.7,,,,,
9/1/2022,0008,C.11.a.8,,,,,
9/1/2022,0008,C.11.a.9,,,,,
9/1/2022,0008,C.11.b,,,,,
9/1/2022,0008,C.11.b.1,,,,,
9/1/2022,0008,C.11.b.2,,,,,
9/1/2022,0008,C.12.a,,,,,
9/1/2022,0008,C.12.a.1,,,,,
9/1/2022,0008,C.12.a.10,,,,,
9/1/2022,0008,C.12.a.11,,,,,
9/1/2022,0008,C.12.a.12,,,,,
9/1/2022,0008,C.12.a.2,,,,,
9/1/2022,0008,C.12.a.3,,,,,
9/1/2022,0008,C.12.a.4,,,,,
9/1/2022,0008,C.12.a.5,,,,,
9/1/2022,0008,C.12.a.6,,,,,
9/1/2022,0008,C.12.a.7,,,,,
9/1/2022,0008,C.12.a.8,,,,,
9/1/2022,0008,C.12.a.9,,,,,
9/1/2022,0008,C.12.b,,,,,
9/1/2022,0008,C.3.a,Y,,,,
9/1/2022,0008,C.3.b,,,,,
9/1/2022,0008,C.3.c,,,,,
9/1/2022,0008,C.3.d,,,,,
9/1/2022,0008,C.9.a,,,,,
9/1/2022,0008,C.9.b,,,,,
9/1/2022,0008,C.9.c,868,,Remove,,
9/1/2022,0008,C.9.d,,,,,
9/1/2022,0008,E.1.a.1,,,,,
9/1/2022,0008,E.1.a.2,,,,,
9/1/2022,0008,E.1.a.3,,,,,
9/1/2022,0008,E.1.a.4,,,,,
9/1/2022,0008,E.1.a.5,,,,,
9/1/2022,0008,E.1.a.6,,,,,
9/1/2022,0008,E.1.a.7,,,,,
9/1/2022,0008,E.1.a.8,2,,,,
9/1/2022,0008,E.1.b.1,,,,,
9/1/2022,0008,E.1.b.2,,,,,
9/1/2022,0008,E.1.b.3,,,,,
9/1/2022,0008,E.1.b.4,,,,,
9/1/2022,0008,E.1.b.5,,,,,
9/1/2022,0008,E.1.b.6,,,,,
9/1/2022,0008,E.1.b.7,,,,,
9/1/2022,0008,E.1.b.8,5,,,,
9/1/2022,0009,B.1.a,,,,,
9/1/2022,0009,B.1.b,,,,,
9/1/2022,0009,B.1.c,,,,,
9/1/2022,0009,B.4.e,,,,,
9/1/2022,0009,B.5.a,,,,,
9/1/2022,0009,B.5.b,,,,,
9/1/2022,0009,B.5.d,,,,,
9/1/2022,0009,B.8.b,2,,,,
9/1/2022,0009,C.1.e,1302,1370,,,
9/1/2022,0009,C.1.f,1282,1332,,,
9/1/2022,0009,C.11.a,,,,,
9/1/2022,0009,C.11.a.1,,,,,
9/1/2022,0009,C.11.a.10,,,,,
9/1/2022,0009,C.11.a.11,,,,,
9/1/2022,0009,C.11.a.12,,,,,
9/1/2022,0009,C.11.a.2,,,,,
9/1/2022,0009,C.11.a.3,,,,,
9/1/2022,0009,C.11.a.4,,,,,
9/1/2022,0009,C.11.a.5,,,,,
9/1/2022,0009,C.11.a.6,,,,,
9/1/2022,0009,C.11.a.7,,,,,
9/1/2022,0009,C.11.a.8,,,,,
9/1/2022,0009,C.11.a.9,,,,,
9/1/2022,0009,C.11.b,,,,,
9/1/2022,0009,C.11.b.1,,,,,
9/1/2022,0009,C.11.b.2,,,,,
9/1/2022,0009,C.12.a,,,,,
9/1/2022,0009,C.12.a.1,,,,,
9/1/2022,0009,C.12.a.10,,,,,
9/1/2022,0009,C.12.a.11,,,,,
9/1/2022,0009,C.12.a.12,,,,,
9/1/2022,0009,C.12.a.2,,,,,
9/1/2022,0009,C.12.a.3,,,,,
9/1/2022,0009,C.12.a.4,,,,,
9/1/2022,0009,C.12.a.5,,,,,
9/1/2022,0009,C.12.a.6,,,,,
9/1/2022,0009,C.12.a.7,,,,,
9/1/2022,0009,C.12.a.8,,,,,
9/1/2022,0009,C.12.a.9,,,,,
9/1/2022,0009,C.12.b,,,,,
9/1/2022,0009,C.3.a,N,,,,
9/1/2022,0009,C.3.b,,,,,
9/1/2022,0009,C.3.c,,,,,
9/1/2022,0009,C.3.d,,,,,
9/1/2022,0009,C.9.a,,,,,
9/1/2022,0009,C.9.b,,,,,
9/1/2022,0009,C.9.c,,,,,
9/1/2022,0009,C.9.d,,,,,
9/1/2022,0009,E.1.a.1,,,,,
9/1/2022,0009,E.1.a.2,1,,,,
9/1/2022,0009,E.1.a.3,,,,,
9/1/2022,0009,E.1.a.4,,,,,
9/1/2022,0009,E.1.a.5,,,,,
9/1/2022,0009,E.1.a.6,,,,,
9/1/2022,0009,E.1.a.7,,,,,
9/1/2022,0009,E.1.a.8,3,,,,
9/1/2022,0009,E.1.b.1,,,,,
9/1/2022,0009,E.1.b.2,,,,,
9/1/2022,0009,E.1.b.3,,,,,
9/1/2022,0009,E.1.b.4,,,,,
9/1/2022,0009,E.1.b.5,,,,,
9/1/2022,0009,E.1.b.6,,,,,
9/1/2022,0009,E.1.b.7,,,,,
9/1/2022,0009,E.1.b.8,21,,,,
9/1/2022,0010,B.1.a,,,,,
9/1/2022,0010,B.1.b,,,,,
9/1/2022,0010,B.1.c,,,,,
9/1/2022,0010,B.4.e,,,,,
9/1/2022,0010,B.5.a,,,,,
9/1/2022,0010,B.5.b,,,,,
9/1/2022,0010,B.5.d,,,,,
9/1/2022,0010,B.8.b,124,,,,
9/1/2022,0010,C.1.e,1146,1183,,,
9/1/2022,0010,C.1.f,1149,1150,,,
9/1/2022,0010,C.11.a,,,,,
9/1/2022,0010,C.11.a.1,,,,,
9/1/2022,0010,C.11.a.10,,,,,
9/1/2022,0010,C.11.a.11,,,,,
9/1/2022,0010,C.11.a.12,,,,,
9/1/2022,0010,C.11.a.2,,,,,
9/1/2022,0010,C.11.a.3,,,,,
9/1/2022,0010,C.11.a.4,,,,,
9/1/2022,0010,C.11.a.5,,,,,
9/1/2022,0010,C.11.a.6,,,,,
9/1/2022,0010,C.11.a.7,,,,,
9/1/2022,0010,C.11.a.8,,,,,
9/1/2022,0010,C.11.a.9,,,,,
9/1/2022,0010,C.11.b,,,,,
9/1/2022,0010,C.11.b.1,,,,,
9/1/2022,0010,C.11.b.2,,,,,
9/1/2022,0010,C.12.a,,,,,
9/1/2022,0010,C.12.a.1,,,,,
9/1/2022,0010,C.12.a.10,,,,,
9/1/2022,0010,C.12.a.11,,,,,
9/1/2022,0010,C.12.a.12,,,,,
9/1/2022,0010,C.12.a.2,,,,,
9/1/2022,0010,C.12.a.3,,,,,
9/1/2022,0010,C.12.a.4,,,,,
9/1/2022,0010,C.12.a.5,,,,,
9/1/2022,0010,C.12.a.6,,,,,
9/1/2022,0010,C.12.a.7,,,,,
9/1/2022,0010,C.12.a.8,,,,,
9/1/2022,0010,C.12.a.9,,,,,
9/1/2022,0010,C.12.b,,,,,
9/1/2022,0010,C.3.a,N,,,,
9/1/2022,0010,C.3.b,,,,,
9/1/2022,0010,C.3.c,,,,,
9/1/2022,0010,C.3.d,,,,,
9/1/2022,0010,C.9.a,,,,,
9/1/2022,0010,C.9.b,,,,,
9/1/2022,0010,C.9.c,,,,,
9/1/2022,0010,C.9.d,,,,,
9/1/2022,0010,E.1.a.1,,,,,
9/1/2022,0010,E.1.a.2,,,,,
9/1/2022,0010,E.1.a.3,,,,,
9/1/2022,0010,E.1.a.4,,,,,
9/1/2022,0010,E.1.a.5,,,,,
9/1/2022,0010,E.1.a.6,,,,,
9/1/2022,0010,E.1.a.7,,,,,
9/1/2022,0010,E.1.a.8,10,,,,
9/1/2022,0010,E.1.b.1,,,,,
9/1/2022,0010,E.1.b.2,1,,,,
9/1/2022,0010,E.1.b.3,,,,,
9/1/2022,0010,E.1.b.4,,,,,
9/1/2022,0010,E.1.b.5,,,,,
9/1/2022,0010,E.1.b.6,,,,,
9/1/2022,0010,E.1.b.7,,,,,
9/1/2022,0010,E.1.b.8,22,,,,
9/1/2022,0013,B.1.a,,,,,
9/1/2022,0013,B.1.b,,,,,
9/1/2022,0013,B.1.c,,,,,
9/1/2022,0013,B.4.e,,,,,
9/1/2022,0013,B.5.a,,,,,
9/1/2022,0013,B.5.b,,,,,
9/1/2022,0013,B.5.d,,,,,
9/1/2022,0013,B.8.b,35,,,,
9/1/2022,0013,C.1.e,879,895,,,
9/1/2022,0013,C.1.f,868,870,,,
9/1/2022,0013,C.11.a,,,,,
9/1/2022,0013,C.11.a.1,,,,,
9/1/2022,0013,C.11.a.10,,,,,
9/1/2022,0013,C.11.a.11,,,,,
9/1/2022,0013,C.11.a.12,,,,,
9/1/2022,0013,C.11.a.2,,,,,
9/1/2022,0013,C.11.a.3,,,,,
9/1/2022,0013,C.11.a.4,,,,,
9/1/2022,0013,C.11.a.5,,,,,
9/1/2022,0013,C.11.a.6,,,,,
9/1/2022,0013,C.11.a.7,,,,,
9/1/2022,0013,C.11.a.8,,,,,
9/1/2022,0013,C.11.a.9,,,,,
9/1/2022,0013,C.11.b,,,,,
9/1/2022,0013,C.11.b.1,,,,,
9/1/2022,0013,C.11.b.2,,,,,
9/1/2022,0013,C.12.a,,,,,
9/1/2022,0013,C.12.a.1,,,,,
9/1/2022,0013,C.12.a.10,,,,,
9/1/2022,0013,C.12.a.11,,,,,
9/1/2022,0013,C.12.a.12,,,,,
9/1/2022,0013,C.12.a.2,,,,,
9/1/2022,0013,C.12.a.3,,,,,
9/1/2022,0013,C.12.a.4,,,,,
9/1/2022,0013,C.12.a.5,,,,,
9/1/2022,0013,C.12.a.6,,,,,
9/1/2022,0013,C.12.a.7,,,,,
9/1/2022,0013,C.12.a.8,,,,,
9/1/2022,0013,C.12.a.9,,,,,
9/1/2022,0013,C.12.b,,,,,
9/1/2022,0013,C.3.a,Y,,,,
9/1/2022,0013,C.3.b,,,,,
9/1/2022,0013,C.3.c,,,,,
9/1/2022,0013,C.3.d,,,,,
9/1/2022,0013,C.9.a,,,,,
9/1/2022,0013,C.9.b,,,,,
9/1/2022,0013,C.9.c,768,,Remove,,
9/1/2022,0013,C.9.d,,,,,
9/1/2022,0013,E.1.a.1,,,,,
9/1/2022,0013,E.1.a.2,,,,,
9/1/2022,0013,E.1.a.3,,,,,
9/1/2022,0013,E.1.a.4,,,,,
9/1/2022,0013,E.1.a.5,,,,,
9/1/2022,0013,E.1.a.6,,,,,
9/1/2022,0013,E.1.a.7,,,,,
9/1/2022,0013,E.1.a.8,4,,,,
9/1/2022,0013,E.1.b.1,,,,,
9/1/2022,0013,E.1.b.2,1,,,,
9/1/2022,0013,E.1.b.3,,,,,
9/1/2022,0013,E.1.b.4,,,,,
9/1/2022,0013,E.1.b.5,,,,,
9/1/2022,0013,E.1.b.6,,,,,
9/1/2022,0013,E.1.b.7,,,,,
9/1/2022,0013,E.1.b.8,6,,,,
9/1/2022,0014,B.1.a,,,,,
9/1/2022,0014,B.1.b,,,,,
9/1/2022,0014,B.1.c,,,,,
9/1/2022,0014,B.4.e,,,,,
9/1/2022,0014,B.5.a,,,,,
9/1/2022,0014,B.5.b,,,,,
9/1/2022,0014,B.5.d,,,,,
9/1/2022,0014,B.8.b,1,,,,
9/1/2022,0014,C.1.e,5050,6290,,,
9/1/2022,0014,C.1.f,5430,6163,,,
9/1/2022,0014,C.11.a,,,,,
9/1/2022,0014,C.11.a.1,,,,,
9/1/2022,0014,C.11.a.10,,,,,
9/1/2022,0014,C.11.a.11,,,,,
9/1/2022,0014,C.11.a.12,,,,,
9/1/2022,0014,C.11.a.2,,,,,
9/1/2022,0014,C.11.a.3,,,,,
9/1/2022,0014,C.11.a.4,,,,,
9/1/2022,0014,C.11.a.5,,,,,
9/1/2022,0014,C.11.a.6,,,,,
9/1/2022,0014,C.11.a.7,,,,,
9/1/2022,0014,C.11.a.8,,,,,
9/1/2022,0014,C.11.a.9,,,,,
9/1/2022,0014,C.11.b,,,,,
9/1/2022,0014,C.11.b.1,,,,,
9/1/2022,0014,C.11.b.2,,,,,
9/1/2022,0014,C.12.a,,,,,
9/1/2022,0014,C.12.a.1,,,,,
9/1/2022,0014,C.12.a.10,,,,,
9/1/2022,0014,C.12.a.11,,,,,
9/1/2022,0014,C.12.a.12,,,,,
9/1/2022,0014,C.12.a.2,,,,,
9/1/2022,0014,C.12.a.3,,,,,
